;WEEK2;WEEK3;WEEK4;WEEK5;WEEK6;WEEK7;WEEK8;WEEK9;WEEK10;WEEK11;WEEK12;WEEK13;WEEK14;WEEK15;WEEK16;WEEK17;WEEK18;WEEK19;WEEK20;WEEK21;WEEK22;WEEK23;WEEK24;WEEK25;WEEK26;WEEK27;WEEK28;WEEK29;WEEK30;WEEK31;WEEK32
Mantova;-5.551115123125783e-17;0.9750000000000004;0.6359222569969549;0.6642240158130984;-0.2612915886017677;-0.02873562521337405;-0.2793107976448845;-0.2787064581136992;-0.3570417653162929;-0.43715199889397055;-0.3620621913136701;-0.3285627829580091;-0.2475920928666991;-0.21409868849674674;-0.18262952972528507;-0.21609626542710966;-0.24588917572386892;-0.15555555555555528;-0.10000000000000057;-0.1954545454545458;-0.19228013459604182;-0.17029533331083396;-0.17461879436390643;-0.25294612657296023;-0.3100853411043023;-0.2993304717093964;-0.3197619401631593;-0.3593760276241653;-0.3516415841587296;-0.38866493626733345;-0.3212131086774548
Modena;-0.4999999999999999;0.32499999999999896;-0.4433577134980108;-0.6653306226739384;-0.4028457770413199;0.04652530506323472;-0.18675322085306698;-0.2402919051510179;-0.1961371295028517;-0.21789608201121544;-0.15488785216933074;-0.19485763014988117;-0.060719026139356036;-0.03753216991300687;-0.05771540344350461;-0.07994185127082895;-0.028124299369757712;0.061111111111110436;0.04999999999999962;0.015909090909090755;-0.06931757521171827;-0.08940578022710838;-0.07227038598341808;0.0010807361442109384;-0.04629036927248117;-0.011719145133051466;0.04253806141153551;0.028280291503349365;-0.010297906258557992;-0.044701591417307035;-0.0070102903901315405
Palermo;-0.5000000000000001;-1.9249999999999978;-0.9912777220690848;-0.05632455130902599;0.484233669513845;0.2990258313256066;0.5180267329720308;0.31325231550339955;0.1820307556817904;0.28797300136054765;0.2342339454757551;0.08090263563813291;0.01820659999134137;-0.03169439329156306;0.1747620048487219;0.06894697125067045;0.024553323666383697;0.044444444444444356;0.10000000000000023;0.02045454545454538;0.10848850128247489;0.14237994091665984;0.09493284747559272;0.07557949684735922;0.1075966675145698;0.09432999064082415;0.17949728036477752;0.1990070732916621;0.17944474095012147;0.1502241316604358;0.16465695727027377
Pisa;-5.613347976343136e-17;0.22500000000000112;0.4101828166742963;1.2326395398371373;1.1088173369759933;1.0935392445614058;0.5441089119336252;0.7059877127631712;0.6702023785429746;0.4232380334899813;0.40978381891245136;0.5886320326990944;0.7362717643347597;0.583513732326962;0.5458390587464348;0.5510108289725415;0.6517981136604386;0.5638888888888887;0.7000000000000006;0.7000000000000004;0.7091086117383465;0.6779814684493731;0.6758699837314518;0.6977413834136871;0.6148997651487824;0.5876992991470615;0.6468619458168693;0.6310728950485994;0.5930898461113999;0.6300465261203524;0.6872918754547281
Reggiana;5.551115123125783e-17;0.8250000000000008;0.7605842401836272;0.7711839887777004;0.14752979452282988;0.11253411386636823;-0.12747962353902942;-0.07736710989627496;0.015003151271853294;-0.21011016680113348;-0.285200730622597;-0.2265571447619798;-0.18626502300597572;-0.1685971476904146;-0.22270620473278158;-0.05333924807602918;-0.11673489698196374;-0.2638888888888892;-0.20000000000000012;-0.10454545454545412;-0.09005182938288149;-0.1459042210052061;-0.09449927245175023;-0.18860205885209358;-0.2285372405443962;-0.24170518565235305;-0.23887797290641546;-0.21857671538972556;-0.25581379914871905;-0.2537827191014893;-0.3381439741344166
Salernitana;0.5;0.6250000000000001;0.0726350425616062;-0.07323133770834007;-0.09275953412273541;-0.054143261187950376;-0.2693832424535873;-0.07844585966409914;-0.1830994939365531;-0.2715177954160012;-0.24610443916670455;-0.23165641339689516;-0.3310500948509451;-0.5230497868731042;-0.3170539904620143;-0.30471335885020623;-0.35178265054376806;-0.3361111111111111;-0.45000000000000007;-0.46818181818181775;-0.44351366449724056;-0.3855180118217643;-0.38136876182761237;-0.3121809533953884;-0.30685732378369335;-0.3455149508765309;-0.3550020341933474;-0.40916188650384827;-0.36529011175461473;-0.3439185413829387;-0.3552011157168894
Sampdoria;0.0;-0.3250000000000008;-0.5780117131435172;-0.6687401576599784;-0.8480769095442425;-0.5538004560787511;-0.22439695430802584;-0.3047618627968877;-0.057195670089569266;-0.007600696674842401;-0.07008268190728115;-0.1347918963064565;-0.28338250542102167;-0.29240495395428;-0.2556001116277097;-0.4164256557652519;-0.33214220769438174;-0.3055555555555549;-0.30000000000000004;-0.29999999999999977;-0.2920669683850979;-0.3256502563881626;-0.32022426500037476;-0.28326510826765444;-0.23851160328184892;-0.28536081744346475;-0.23247352270850452;-0.21904254512062382;-0.2022216885125321;-0.2112313145329949;-0.3095185840820465
Sassuolo;0.0;0.7249999999999994;0.44251862702840966;-0.7508744382528282;-0.1743492886901714;0.13317511081785893;0.28305341444062926;0.7610107369818621;1.024832560654864;1.1514371665284684;1.0637205446411375;1.0201416080671974;0.9877635001181251;1.1793968232882441;1.2004399976847926;1.3504857908747494;1.2957582534818424;1.2861111111111119;1.15;1.1363636363636367;1.1098352365351227;1.1203581085161973;1.0730396387487604;1.1128990758074369;1.1758584057893284;1.2005290237576844;1.1409943341680195;1.153156701921789;1.1270616071922597;1.0993383865494537;1.1770968220263072
Spezia;5.551115123125783e-17;0.37500000000000216;0.31960616011418924;0.8780261877360209;0.5783493414592208;0.6353171183562379;0.6135633584403697;0.6813130996647774;0.8207930146982574;0.7971279809649621;0.6942864673149919;0.718451171159179;0.900217624122148;1.0136537107252819;0.8173377291508426;1.0304340112465509;0.9483567282369867;0.9555555555555548;0.9;0.772727272727272;0.7351293691813607;0.8649272586690785;0.9148648988018795;0.9351836483541852;0.90767132892414;0.8788427112225942;0.8220691451872099;0.7811743008957818;0.8005217405204104;0.7801071843837126;0.7233294855325324
Südtirol;0.4999999999999999;1.4749999999999996;-0.10630317114944701;-0.626081743130332;0.11002007704953234;-0.14927686407732105;-0.36917019881025187;-0.08579946853121925;-0.12251880970188314;-0.4274780362341549;-0.47205173057170713;-0.4864068958316462;-0.45085764532717076;-0.566385358973656;-0.7690633973686067;-0.7785812538917138;-0.7456278930848307;-0.6472222222222219;-0.6999999999999995;-0.6659090909090917;-0.6334751559402788;-0.643931123092279;-0.5201717742214303;-0.4193832142678918;-0.4678106382237537;-0.42149067255152023;-0.40953052250816446;-0.36799341188895934;-0.2426216684358522;-0.2428916409039632;-0.3068478172760066
