;WEEK2;WEEK3;WEEK4;WEEK5;WEEK6;WEEK7;WEEK8;WEEK9;WEEK10;WEEK11;WEEK12;WEEK13;WEEK14;WEEK15;WEEK16;WEEK17;WEEK18;WEEK19;WEEK20;WEEK21;WEEK22;WEEK23;WEEK24;WEEK25;WEEK26;WEEK27;WEEK28;WEEK29;WEEK30;WEEK31;WEEK32;WEEK33;WEEK34;WEEK35;WEEK36;WEEK37;WEEK38;WEEK39;WEEK40
Eldense;0.4999999999999998;-1.7272727272727277;-1.023985697573321;0.3265768570269907;-0.422739315061432;-0.3957567137298402;-0.04056785686114856;0.04463258708867181;-0.13700246343358874;-0.3724232257579656;-0.2368532202788055;-0.4428317314621506;-0.285064682142166;-0.3117732349653225;-0.17641424849767987;-0.244686086915386;-0.2442912741195175;-0.3001739497644888;-0.2621675295670269;-0.39318181818181897;-0.3636363636363636;-0.43560606060606105;-0.548089297192812;-0.5120080568547376;-0.5896192119103373;-0.558813112685309;-0.46351045156402376;-0.4181273102245908;-0.4274824801135109;-0.3403198927975145;-0.31430134091302503;-0.3462934379735562;-0.34278631862927755;-0.3306392931752602;-0.34675716051442695;-0.39119183729956436;-0.3816330409775835;-0.491017199996329;-0.45461969716933154
Granada;-0.49999999999999994;1.2727272727272707;-0.1157633954379731;-0.9554144643959923;-0.8209233095612065;-0.5569895049976548;-0.5023719276555223;-0.4426162086322631;-0.24254401477884246;0.3617203455518373;0.28681031859949585;0.2768801440010255;0.2033045598068544;0.23670143376374284;0.29280392189955173;0.28508076849356684;0.2488010367821873;0.41361902589535415;0.2977720132254648;0.3863636363636359;0.3636363636363637;0.3352272727272731;0.25781825316891943;0.33460847630962054;0.41141052491721597;0.41632026355317364;0.42876318365797145;0.4181367696867516;0.23425648503482868;0.2927279551230988;0.25351653171746885;0.2776512366600436;0.2223318958541806;0.28478975230526726;0.33248784577359103;0.31795814950028595;0.32343276995684245;0.2868306794307327;0.23042858867292157
Huesca;0.4999999999999999;0.909090909090907;1.471947078290081;0.18695229499656865;0.1705885632741221;0.6025169499578267;0.4779125135977856;0.4346687842243307;0.4028307838914025;0.5648892534566639;0.3105814868942561;0.3550070861490034;0.22257297182896685;0.2585721045077085;0.10685515610294237;0.1457524733476503;0.30686948483296694;0.36147525052642193;0.4158958838082884;0.406818181818182;0.40909090909090945;0.4526515151515158;0.4595689409217829;0.5530360236587885;0.568123755583119;0.5692429463492862;0.5699738477823371;0.5539725168972311;0.5729627362618913;0.46692642450506405;0.4391074883964507;0.39348647569081185;0.41259994775379033;0.3706279806183987;0.38573063141419817;0.335414493800427;0.32131420428710716;0.30093765759498364;0.2674589008903382
La Coruña;-0.4999999999999999;-0.545454545454548;0.05904644419458867;-0.860343529234284;-0.9544825717790153;-1.0491630469404412;-0.5259407025902985;-0.5666952921280635;-0.4439113110955194;-0.19488269752432766;-0.3260357003865509;-0.30006539981108094;-0.0707512413357689;0.008249016282697079;-0.02753994167520301;0.012995444561208951;0.10199018300911483;0.12137015127117841;0.06949076189025954;0.27272727272727276;0.09090909090909073;0.09090909090909113;0.11445353614207258;0.09052827750287885;0.11504991086571995;0.2039485471587629;0.10693937133491233;0.12525694201057277;0.16173935404431725;0.15329722738269208;0.14834315151561328;0.10810776437546672;0.10582603195001097;0.13230932225295136;0.14002760499580583;0.12468356625539184;0.1060719445850721;0.20633294947162742;0.18047918135795527
Levante;0.4999999999999999;-1.6363636363636347;-0.1819974690804452;0.8171743534875656;0.7514787535366748;0.679021031197356;0.861393217537315;0.8094699804561257;0.6297202808419301;0.18373419990270848;0.3847363149884372;0.40027514255795166;0.5419121520473752;0.6720873289637737;0.6684273734603491;0.5719880356011422;0.6158729795979452;0.5317700180760657;0.4856482123551849;0.4568181818181823;0.4545454545454544;0.424242424242424;0.5054600848328004;0.5359912319445719;0.45075264943356824;0.43905220651406107;0.42638706183997627;0.4634740239747512;0.459059343709877;0.5066057385929802;0.5339487478769798;0.5421839960721422;0.504899572629451;0.553939649358175;0.5372375146492938;0.600362219898898;0.5645694998913627;0.5437792149456829;0.5892730036412391
Málaga;-1.1102230246251565e-16;1.1818181818181812;0.6211051833778689;-0.18583382237623022;0.40971886329194535;0.14793355085244117;-0.3985439200405749;-0.5329047827127644;-0.39680077432478655;-0.07228698378155864;-0.24623613929953986;-0.09120998672168946;-0.21414019394313943;-0.20055931083115172;-0.1457918152993126;-0.08526144582302574;-0.1861083834083897;-0.14733134712087856;-0.1515659103598802;-0.01363636363636325;0.09090909090909102;0.09090909090909093;0.06470687618840429;0.02526855541756331;0.008562221142868259;0.023844350439067033;0.013575276436293596;0.025707508158308624;0.04090049166004185;-0.023583193747810975;-0.08583822797717111;-0.05224371409082634;-0.07259845814702183;-0.10036635551255223;-0.11651086658681654;-0.11679349320365308;-0.08687223552372046;-0.04797595778233642;-0.08341950592266217
Oviedo;0.4999999999999999;-4.374570319285647e-15;0.18372951024885598;-0.7346135927423367;-0.4780145310392488;-0.4882580012163146;-0.034358436370246104;0.16730244552493112;0.1775923178319597;-0.02242503358892467;0.3649123015459019;0.11760549725199244;0.24980100372628644;0.23058819791094157;0.32166357137020035;0.06731915776996472;-0.08642883406950518;0.08559284919180533;0.20456677745585403;0.25227272727272837;0.18181818181818152;0.1818181818181824;0.1772529132696325;0.19722663403930757;0.21119395424528534;0.1781740593614281;0.20922730230831596;0.22854216066779667;0.1944457722943441;0.1711071547125642;0.18533675874998562;0.15828023978665176;0.1801016239294608;0.1715085967477516;0.2219893364890786;0.21491596664887594;0.2490528413224048;0.278396042461331;0.2799518915090466
Racing Ferrol;1.1102230246251565e-16;0.7272727272727288;-0.4785372559551741;-0.9382983547953767;-0.5384764401746457;-1.0227244038057846;-1.3261914860948252;-1.1783342232429277;-0.9041367299208387;-0.5167305640661372;-0.6343569793054061;-0.5698631206018938;-0.5559187796776048;-0.5405502252929206;-0.6446084097139846;-0.5398250022765572;-0.5161907934751649;-0.6953087330108676;-0.5354279021764813;-0.6295454545454544;-0.6363636363636364;-0.6496212121212124;-0.8552812957495427;-0.8764579985665816;-0.7882359319200938;-0.840387221075596;-0.8966014848210982;-0.9093618699429276;-0.918658005248739;-0.9795054409733697;-0.9532909074122611;-0.9825981484926534;-0.9828643938149475;-0.9671120452459107;-1.0157330827997941;-0.9698991458203147;-0.965837889902421;-0.965246561794995;-0.952924556007975
Racing Sant;0.0;-0.3636363636363649;0.9394923594452024;0.723719743849175;0.5559804490811372;0.743573496724231;0.5255815443977547;0.8968061888138854;0.9012831354440407;0.6014225602276848;0.8439650634808806;0.8071682685378484;0.766760636153565;0.7519546297656869;0.789782764557852;0.71859288277097;0.6286500038638423;0.44933679481066024;0.3949165017004212;0.2568181818181825;0.22727272727272735;0.2121212121212125;0.41816675128098446;0.4316506992603337;0.4537473597131262;0.38913397188977494;0.3419992608178377;0.3230109299633138;0.4009182316372423;0.3952852628325093;0.39683720871900074;0.37528129516466563;0.420574195024799;0.36752585337480864;0.3524669956665599;0.4101821006547737;0.4280287941094908;0.36462426395596503;0.3638223339324679
Sporting Gijón;-0.4999999999999999;-2.18181818181818;-0.7804279347969569;0.4183041838440501;-0.04884023051994298;-0.07356277930544046;0.3583693778796215;0.75882201009098;0.7546357663075927;0.3582215463767467;0.578643703076977;0.4683220973376099;0.6130911973260407;0.6741347179285696;0.5780969045069955;0.5220078842840187;0.5782853320166922;0.44872006197233066;0.2934857367646315;0.2863636363636353;0.18181818181818177;0.18181818181818174;0.19898776774122123;0.12727352558610164;0.18466003572486078;0.17658260888211372;0.1858164592927668;0.19465496395260368;0.18171067047286893;0.19140051321944176;0.18259923552606638;0.11883307055143022;0.09848835869249924;0.027729794683159087;0.04661630942427979;0.10596786148805454;0.07864001425225726;0.04639810163150551;0.07530940005794601
Tenerife;-0.49999999999999994;-2.2727272727272734;-1.5649663378595497;-0.41228431430432666;-0.7808158681563546;-0.5938873123160909;-0.6123099677688209;-0.15320544883802475;-0.23818724508854794;-0.7778512621832148;-0.6151093597260513;-0.6396092911724218;-0.5141137438045117;-0.6488963654566346;-0.6868051290255743;-0.7491272020033948;-0.691574860924123;-0.8491365728887598;-0.8035658885209548;-0.7931818181818172;-0.8181818181818186;-0.6988636363636356;-0.6649367269591692;-0.6985800101936925;-0.6039570533287557;-0.6322676916668678;-0.652236436609196;-0.6632422859817865;-0.6827312375036556;-0.5828830080586115;-0.5867502002446493;-0.535911961917785;-0.48490313456229217;-0.414840663374857;-0.4071731357570597;-0.3933285857116471;-0.3836874079676807;-0.36512337263443806;-0.3789289260568096
Zaragoza;1.9999999999999998;1.4545454545454561;1.1401257721353055;1.9611928274552894;1.5014643861086534;1.5067384255594827;1.283525889761088;0.9532386998837877;0.8941816466802609;0.5435751623321871;0.6130174422074157;0.5025298147934579;0.5737416460956587;0.5427670729421807;0.5092832559991871;0.454308605087318;0.36540157189259015;0.35445522896930143;0.2665430562360303;0.22045454545454501;0.22727272727272735;0.20075757575757536;0.16389653273169108;0.19906766298110035;0.18898560862724567;0.14434095900842286;0.09420109948988556;0.102356353584898;0.0954848470040942;0.02381240720677326;-0.05681900340229387;-0.0551044003137898;-0.09901248304801465;-0.05621991137192213;-0.056705087155432335;-0.1220456968822201;-0.10946062874379847;-0.11146991332157632;-0.10898920541431256
