;WEEK2;WEEK3;WEEK4;WEEK5;WEEK6;WEEK7;WEEK8;WEEK9;WEEK10;WEEK11;WEEK12;WEEK13;WEEK14;WEEK15;WEEK16;WEEK17;WEEK18;WEEK19;WEEK20;WEEK21;WEEK22;WEEK23;WEEK24;WEEK25;WEEK26;WEEK27;WEEK28;WEEK29;WEEK30;WEEK31
Lazio;0.9999999999999998;-0.8249999999999992;-0.21418089225664216;0.5917909272281114;0.21846668345007217;0.3574001693596346;0.4971029083125091;0.4229589760094847;0.5610891461186444;0.7811891629783102;0.7507737787655613;0.7454255916790408;0.8905235195863703;0.6821619450743325;0.7487469521963731;0.4147598303848437;0.37948569129515675;0.42222222222222233;0.30000000000000043;0.26136363636363613;0.3477657004830922;0.3200656656498455;0.3232135461289508;0.43842326517293706;0.45890917439449463;0.4123997018913052;0.44435670360262997;0.42643411372185225;0.26049489333471015;0.25419497772899213
Lecce;-2.0000000000000004;-3.575;-1.6392977389840795;-1.5425163748876454;-1.1767469968567315;-1.350561812642743;-1.1917574334414334;-1.7359843155866082;-1.4040651709084013;-1.270625676767215;-1.2545732973424606;-1.1432922317909902;-1.0451476545126253;-0.9034266975884407;-1.060233751085068;-0.9494083788850856;-0.930459044100232;-1.025000000000001;-1.0000000000000002;-0.8727272727272726;-0.9945062088333055;-1.0666845917293348;-0.9691313408662461;-0.9203830663291327;-0.9166439025021444;-0.9348491022455746;-0.9229242330514965;-0.9145287195606014;-0.9201733377862388;-0.9097663062096009
Milan;2.220446049250313e-16;-0.8250000000000018;-0.4375697322186686;0.39039720430852415;0.8503281460763938;0.9211851560569115;0.7293975910246513;0.6747802262417528;0.6603338359089468;0.5554906243332361;0.534322193851845;0.42894835900097883;0.48877632507481394;0.6471488020026827;0.618964407962754;0.5330901275161672;0.482760952320481;0.4500000000000015;0.45000000000000107;0.39772727272727243;0.3295506324928035;0.331952125006231;0.3735111473660585;0.42152413476747524;0.4019203781254739;0.35017102515653925;0.3177576567624415;0.303608528111249;0.31324524223336486;0.3000045016762531
Monza;4.4014415379792417e-17;-0.32500000000000145;-0.2405945334470978;0.08101914002560189;-0.3777908967497527;-0.4827304812963877;-0.4076175978302342;0.09251555180203008;-0.11285354441725479;-0.1647215331101341;-0.16700737857673034;-0.20226577997238576;-0.20084935036511023;-0.24867251577781282;-0.307355165882196;-0.4007552215634863;-0.37540868702553315;-0.4333333333333315;-0.49999999999999944;-0.39545454545454617;-0.4564147166820609;-0.5441486457808701;-0.5994378299939094;-0.7251999513178302;-0.7323566975681974;-0.8459283359460358;-0.8854663672745249;-0.8496439078937205;-0.8303144781447971;-0.9123363058417037
Napoli;-1.4999999999999998;0.9249999999999972;0.7103329299441304;1.0526112756416066;1.0644100727927737;1.124602597613181;1.192281517943188;1.259972116887987;0.9549207583058672;1.0400526420655885;0.7740707058179878;0.8078159307494382;0.7922091534431092;0.8050304017999745;0.7303577352320113;0.7851420423660704;0.765903908360632;0.738888888888889;0.9000000000000011;0.9090909090909098;0.9564613526570047;0.9908717703615939;0.9627848484718323;0.9128338886313703;0.9003140220535034;0.8329560233055836;0.8473865050531906;0.8656816635883026;0.8109923584663843;0.8260159174598413
Parma;-5.551115123125783e-17;-0.5749999999999997;-0.0841994188724361;0.06671954994011385;-0.13736234403264858;-0.4352008996201226;-0.29948008288542144;-0.3020292553458597;-0.16709551067694295;-0.13670228535106277;-0.3407204135310709;-0.2635774042380704;-0.316072394588283;-0.0740729301360277;-0.12721948472761185;-0.2416595361654458;-0.5215116028295351;-0.46111111111111125;-0.4499999999999994;-0.4999999999999998;-0.5093596427412228;-0.5128994475847347;-0.6147900237333992;-0.6482358544272516;-0.650999602261598;-0.5405047975458244;-0.5597707908208599;-0.5396987303807697;-0.5432042006347062;-0.55372282607626
Roma;-2.220446049250313e-16;0.17499999999999907;0.08547733664281693;0.013063606318088061;0.4389275153536668;0.4308489445213479;0.17073482153513495;0.20873179676750556;-0.19644729170190567;-0.107242370424538;-0.23973767498762796;-0.30487167332140497;-0.3145335339219378;-0.3726595452465413;-0.21667793120380952;-0.3356582601020929;-0.04790259131197933;-0.02222222222222278;0.10000000000000059;0.1068181818181805;0.17019548888086744;0.19342344895339603;0.22869511479220128;0.23010460578860523;0.23908519330738967;0.34838061974885237;0.36579554804636744;0.3679560392543915;0.3759247674683448;0.3671330208850094
Torino;-2.220446049250313e-16;-0.07500000000000284;-0.014328885526929236;-0.32413987273489375;0.3811027034883692;0.1526075406069607;0.14867854545035858;-0.20274591350165805;-0.0679250734002545;-0.14911859990328138;-0.09265459486233077;-0.17617528546324868;-0.16354233177561717;-0.1817963374053354;-0.2313543200250992;-0.15537440352184673;-0.2373824620427864;-0.23888888888888898;-0.25000000000000033;-0.2045454545454553;-0.16208892963525198;-0.09436500294959503;-0.04693900033979845;-0.05783574987562298;-0.08235271783178724;-0.030841333659768384;0.006031985442138232;-0.012977508801721466;0.002738568998313054;0.010662316677625343
Udinese;-1.6258839764163454e-17;-0.5750000000000022;0.04631746615752388;0.5730451274090104;-0.10277289194007072;-0.09529852054365265;-0.09168646854476442;-0.19913975282326335;4.2253970402104934e-05;-0.15344127810466984;-0.26826033821535394;-0.21670578972015808;-0.1841808175618111;-0.3729264897095113;-0.28225618245855166;-0.3453059039393938;-0.2056040804002739;-0.21388888888888907;-0.2500000000000004;-0.18636363636363643;-0.3333937198067633;-0.3540352116805836;-0.3290918025926154;-0.27408499821100296;-0.16924730146850092;-0.15430384321362858;-0.13166026850503215;-0.10621024731131232;-0.17483063790773995;-0.16247769571896598
Venezia;-0.9999999999999998;-2.0749999999999997;-1.2512904107087812;-1.7727817871992386;-0.8785878487182368;-0.8445893158361029;-0.9300319370145792;-1.053916512815348;-0.932181201647255;-0.7329770287879649;-0.6233689912908588;-0.705700655598407;-0.790622854471591;-0.931289489331453;-0.9256571198481292;-0.825046009049067;-0.7597405975425086;-0.7277777777777765;-0.6999999999999998;-0.6522727272727269;-0.645041042404074;-0.6563079131763315;-0.6880778560689925;-0.6948182843565945;-0.7583448631687427;-0.7032126782922693;-0.6380765701527861;-0.6197762148618664;-0.5779013965147644;-0.5817104258910645
